FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
1,SYR2454,0.157035434716,Monticello Dr S,Phelps Pl.,dead end,200,14,26,9,Excellent,19,Local,2021/07/19 00:00:00+00,345.864143856411
2,SYR1496,0.084427939575,Glenwood Ave.,Velasko,Dundee,1400,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,185.751118062017
3,SYR2455,0.123750838733,Mooney Ave.,Teall,Hixson,100,5,25,6,Fair,19,Local,2021/06/25 00:00:00+00,272.250430975119
4,SYR1497,0.0730634211108,Glenwood Ave.,Dundee,Austin,1500,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,160.741383399057
5,SYR2456,0.0869384037526,Mooney Ave.,Hixson,dead end,200,5,25,6,Fair,19,Local,2021/06/25 00:00:00+00,191.264039926057
6,SYR1498,0.0573141853043,Glenwood Ave.,Austin,Sunhill Terr.,1600,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,126.096774013687
7,SYR2457,0.0616712163471,Moore Ave,Colvin,Michaels,100,19,25,7,Good,19,Local,2021/07/22 00:00:00+00,136.079791224888
8,SYR1499,0.0673484727056,Glenwood Ave.,Sunhill Terr.,Archer,1700,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,148.289239366506
9,SYR2458,0.312707969279,Moore Ave,Michaels Cir,Smith La,200,19,25,5,Poor,19,Local,2021/07/22 00:00:00+00,689.564094387652
10,SYR15,0.159657522816,Ackerman Ave.,Euclid,Stratford,800,16,27,9,Excellent,19,Local,2021/07/20 00:00:00+00,352.343565335057
11,SYR2459,0.035923546413,Morey Ave,Coral Ave,dead end,100,13,18,9,Excellent,19,Local,2021/07/16 00:00:00+00,78.9819364352304
12,SYR150,0.0758876911225,"Avery Ave., N.",W. Genesee,Erie St.,600,7,36,8,Good,17,Collector,2021/06/10 00:00:00+00,167.390621558914
13,SYR246,0.153627933282,Beech St. S,Madison,Cherry,500,17,24,6,Fair,19,Local,2021/07/16 00:00:00+00,338.598543138977
14,SYR1500,0.167552561547,Glenwood Ave.,Archer,Bellevue,1800,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,368.841488513992
15,SYR2460,0.0870414333266,Morgan Ave,Avery,City Line,100,7,24,7,Good,19,Local,1899/12/30 00:00:00+00,191.60989345936
16,SYR1501,0.158460364019,Goodrich Ave,Vincent,Thurber,100,19,25,7,Good,19,Local,2021/07/22 00:00:00+00,349.605876750838
17,SYR2463,0.0521819354577,Morton St,Avery,Hayden,100,7,25,8,Good,19,Local,2021/06/10 00:00:00+00,114.865307194093
18,SYR1502,0.148117735128,Goodrich Ave,Thurber,Holmes,200,19,25,8,Good,19,Local,2021/07/22 00:00:00+00,326.785655528046
19,SYR2464,0.0581296194046,Morton St.,Hayden,Myrtle,200,7,25,8,Good,19,Local,2021/06/10 00:00:00+00,127.963957415324
20,SYR1503,0.108638254448,Goodrich Ave,Holmes,Thayer,300,19,25,7,Good,19,Local,2021/07/22 00:00:00+00,239.677402247777
21,SYR2465,0.175075351161,Moseley Dr.,James,Northcliffe,100,5,24,7,Good,19,Local,2021/06/17 00:00:00+00,386.574969721088
22,SYR1504,0.073593964796,Gordon Ave,Hubbell,Roberts,100,12,27,10,Excellent,19,Local,2021/07/22 00:00:00+00,161.816148175379
23,SYR2466,0.152510775711,Moseley Dr.,Northcliffe,Glencove,200,5,24,7,Good,19,Local,2021/06/17 00:00:00+00,336.737825895356
24,SYR1505,0.103819581937,Gordon Ave,Roberts,Stinard,200,12,27,10,Excellent,19,Local,2021/07/22 00:00:00+00,228.275208782885
25,SYR2467,0.157212839521,Moseley Dr.,Glencove,Sunnycrest,300,5,33,6,Fair,19,Local,2021/06/17 00:00:00+00,347.10715727482
26,SYR1506,0.0642302482624,Gordon Ave,Stinard,Geddes,300,11,27,10,Excellent,19,Local,2021/07/22 00:00:00+00,141.227245831267
27,SYR2468,0.0810087390738,Moseley Dr.,Sunnycrest,Caleb,400,5,33,6,Fair,19,Local,2021/06/17 00:00:00+00,178.852969393727
28,SYR1507,0.150705703592,Gorland Ave,Salt Springs,dead end,100,17,29,8,Good,19,Local,2021/07/19 00:00:00+00,332.631215687765
29,SYR1508,0.169771074329,Grace St,Congress/Oswego,Massena,100,10,34,6,Fair,19,Local,2021/07/22 00:00:00+00,374.023325891449
30,SYR1509,0.154752276351,Grace St,Massena,Delaware,200,10,34,6,Fair,19,Local,2021/07/22 00:00:00+00,340.934246538435
31,SYR151,0.0772604881138,"Avery Ave., N.",Erie St.,Herkimer,700,7,36,8,Good,17,Collector,2021/06/10 00:00:00+00,170.421585190807
32,SYR1510,0.232148097365,Grand Ave,Geddes,Cadwell,100,8,27,9,Excellent,16,Minor Arterial,2021/07/28 00:00:00+00,511.147921966013
33,SYR1511,0.0797286099503,Grand Ave,Cadwell,Herriman,200,8,27,9,Excellent,16,Minor Arterial,2021/07/28 00:00:00+00,175.352748949103
34,SYR1512,0.0725716776721,Grand Ave,Herriman,Lydell,300,8,27,9,Excellent,16,Minor Arterial,2021/07/28 00:00:00+00,159.6114434331
35,SYR1513,0.0625496023774,Grand Ave,Lydell,Hoefler,400,8,27,9,Excellent,16,Minor Arterial,2021/07/28 00:00:00+00,137.568385988069
36,SYR1514,0.0609393960627,Grand Ave,Hoefler,Holden,500,8,27,9,Excellent,16,Minor Arterial,2021/07/28 00:00:00+00,134.026447906384
37,SYR1515,0.0595418071968,Grand Ave,Holden,De Palma,600,8,27,9,Excellent,16,Minor Arterial,2021/07/28 00:00:00+00,130.952858913767
38,SYR1516,0.331993523991,Grand Ave,De Palma,Velasko/Avery,700,8,27,9,Excellent,16,Minor Arterial,2021/07/19 00:00:00+00,730.541613375379
39,SYR1517,0.0735315422372,Grandview Ave,Roberts,Hubbell,100,11,36,5,Poor,19,Local,2021/07/22 00:00:00+00,161.687228034611
40,SYR1518,0.044972572052,Granger St,Fabius,McCormick,100,8,18,5,Poor,19,Local,2021/07/23 00:00:00+00,99.2572911474585
41,SYR1519,0.0741407490104,Granger St,McCormick,Gifford,200,8,18,6,Fair,19,Local,2021/07/23 00:00:00+00,163.462207941981
42,SYR152,0.0910852981596,"Avery Ave., N.",Herkimer,Driscoll,800,7,36,8,Good,17,Collector,2021/06/10 00:00:00+00,200.919944628545
43,SYR1520,0.0622602100584,Granger St,Gifford,Seymour,300,8,18,7,Good,19,Local,2021/07/23 00:00:00+00,137.416493072029
44,SYR1521,0.114153914601,Grant Ave,Page,Stinard,100,11,31,8,Good,19,Local,2021/07/22 00:00:00+00,251.112448293323
45,SYR1522,0.065212140321,Grant Ave,Stinard,Geddes,200,11,31,8,Good,19,Local,2021/07/22 00:00:00+00,143.392317005174
46,SYR1523,0.0813434669912,Grant Ave,Geddes,Arthur,300,11,31,7,Good,19,Local,2021/07/19 00:00:00+00,178.863740174587
47,SYR1524,0.072191616729,Grant Ave,Arthur,Duane,400,11,31,8,Good,19,Local,2021/07/19 00:00:00+00,158.738655942038
48,SYR1525,0.0614087585358,Grant Ave,Duane,Markland,500,11,31,7,Good,19,Local,2021/07/19 00:00:00+00,135.029481895523
49,SYR1526,0.315343384262,Grant Blvd.,James,George,100200,4,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,694.689040112058
50,SYR1527,0.133698122453,Grant Blvd.,George,Grant Terr.,300,4,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,294.459642383471
51,SYR1528,0.0837137710466,Grant Blvd.,Grant Terr.,Teall,400,4,36,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,184.377461911937
52,SYR1529,0.181303099634,Grant Blvd.,Teall,Wheaton,500600,4,39,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,399.136675679428
53,SYR153,0.133059809904,"Avery Ave., N.",Driscoll,Essex,900,7,36,8,Good,17,Collector,2021/06/10 00:00:00+00,293.513513626236
54,SYR1530,0.0571087382804,Grant Blvd.,Wheaton,Durston,700,4,35,8,Good,16,Minor Arterial,2021/07/16 00:00:00+00,125.660293864426
55,SYR1531,0.0636831014834,Grant Blvd.,Durston,Brattle,800,4,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,140.125949475475
56,SYR1532,0.0622512344327,Grant Blvd.,Brattle,Wendell,900,4,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,136.97489860815
57,SYR1533,0.0606425507985,Grant Blvd.,Wendell,Woodlawn,1000,4,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,133.435244883599
58,SYR1534,0.163726141799,Grant Blvd.,Woodlawn,Dewitt,11001200,3,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,360.255239538775
59,SYR1535,0.0558780759882,Grant Blvd.,Dewitt,Helen,1300,3,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,122.951211325313
60,SYR1536,0.0564263885941,Grant Blvd.,Helen,Oak,1400,3,35,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,124.157448988918
61,SYR1537,0.0612572538483,Grant Blvd.,Oak,Woodruff,1500,3,36,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,134.787037345583
62,SYR1538,0.0577991328696,Grant Blvd.,Woodruff,Wadsworth,1600,3,36,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,127.177562457971
63,SYR1539,0.0532093874724,Grant Blvd.,Wadsworth,Worden,1700,3,36,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,117.079092677141
64,SYR154,0.115536298294,"Avery Ave., N.",Essex,Chemung,1000,7,36,6,Fair,17,Collector,2021/06/10 00:00:00+00,254.866579380787
65,SYR1540,0.0571504517024,Grant Blvd.,Worden,Greenland,1800,3,36,9,Excellent,16,Minor Arterial,2021/07/16 00:00:00+00,125.75024491085
66,SYR1541,0.116997581074,Grant Blvd.,Greenland,Butternut,1900,3,36,6,Fair,16,Minor Arterial,2021/07/16 00:00:00+00,257.555146559471
67,SYR1542,0.0448311296929,Grant Blvd.,Butternut,Cleveland,2000,3,36,5,Poor,16,Minor Arterial,2021/07/13 00:00:00+00,98.696599236833
68,SYR1543,0.0523472091699,Grant Blvd.,Cleveland,Craig,2100,3,36,5,Poor,16,Minor Arterial,2021/07/13 00:00:00+00,115.216554403844
69,SYR1544,0.0867235309049,Grant Blvd.,Craig,Pond,2200,3,36,8,Good,16,Minor Arterial,1899/12/30 00:00:00+00,190.864811603974
70,SYR1545,0.140450838369,Grant Blvd.,Pond,Culbert,2300,1,36,8,Good,16,Minor Arterial,2021/07/13 00:00:00+00,309.113071576552
71,SYR1546,0.0571986250228,Grant Blvd.,Culbert,Kirkpatrick,2400,1,36,8,Good,16,Minor Arterial,2021/07/13 00:00:00+00,125.887101665558
72,SYR1547,0.0976879312282,Grant Blvd.,Kirkpatrick,Danforth,2500,1,36,7,Good,16,Minor Arterial,2021/07/13 00:00:00+00,215.00053913355
73,SYR1548,0.0957957730299,Grant Blvd.,Danforth,Court,2600,1,36,4,Poor,16,Minor Arterial,2021/07/13 00:00:00+00,210.837881108898
74,SYR1549,0.0933681038412,Grant Blvd.,Court,Turtle,2700,1,36,7,Good,16,Minor Arterial,2021/07/13 00:00:00+00,205.494981035288
75,SYR155,0.0880478920567,"Avery Ave., N.",Chemung,Kincaid,1100,7,36,7,Good,17,Collector,2021/06/10 00:00:00+00,194.23257335661
76,SYR1550,0.0882613259885,Grant Blvd.,Turtle,Bear,2800,1,36,7,Good,16,Minor Arterial,2021/07/13 00:00:00+00,194.360789960061
77,SYR1551,0.0905743403291,Grant Blvd.,Bear,LeMoyne,2900,1,36,8,Good,16,Minor Arterial,2021/07/13 00:00:00+00,199.468893137017
78,SYR1552,0.0903974941567,Grant Blvd.,LeMoyne,Wolf,3000,1,36,5,Poor,16,Minor Arterial,2021/07/13 00:00:00+00,199.077801027793
79,SYR1553,0.146163281845,Grant Blvd.,Wolf,Hiawatha,3100,1,36,6,Fair,17,Collector,2021/07/13 00:00:00+00,321.899425157954
80,SYR1555,0.065178550874,Grassman Ave,Butternut,dead end,100,3,11,6,Fair,19,Local,1899/12/30 00:00:00+00,143.519273775847
81,SYR1556,0.0518444253957,Graves St,Seward,Highland St,100,4,27,6,Fair,19,Local,2021/07/15 00:00:00+00,114.054171306232
82,SYR1557,0.0971655607049,Graves St,Highland St,Beecher,200,4,27,5,Poor,19,Local,2021/07/15 00:00:00+00,213.7598478729
83,SYR1558,0.0533965090024,Graves St,Beecher,Douglas,300,4,27,7,Good,19,Local,2021/07/15 00:00:00+00,117.744115747707
84,SYR1559,0.0801447624249,Graves St,Douglas,Highland Av,400,4,27,7,Good,19,Local,2021/07/15 00:00:00+00,176.751089288405
85,SYR156,0.121476019608,"Avery Ave., N.",Kincaid,Milton,1200,7,36,7,Good,17,Collector,2021/06/10 00:00:00+00,268.070706847944
86,SYR1560,0.114250318667,Gray Ave,Teall,Dorchester,100,4,27,8,Good,19,Local,2021/06/17 00:00:00+00,251.377531238506
87,SYR1563,0.130596552837,Green St,Hawley,Howard,100,6,30,5,Poor,19,Local,2021/06/23 00:00:00+00,287.574407635665
88,SYR1564,0.100955214597,Green St,Howard,Lodi,200,6,30,4,Poor,19,Local,2021/06/23 00:00:00+00,222.320682733193
89,SYR1565,0.290597871672,Green St.,Lodi,Oak,300,6,26,5,Poor,19,Local,2021/06/23 00:00:00+00,639.942918702262
90,SYR1566,0.185494129238,Greenland Dr,Grant Blvd.,Harold,100,3,32,5,Poor,19,Local,2021/06/25 00:00:00+00,409.610659776186
91,SYR1567,0.0418497983708,Greenway Ave,Riegel,Burnet,200,6,30,7,Good,19,Local,2021/06/23 00:00:00+00,92.366653338578
92,SYR1568,0.0792544057854,Greenway Ave,Hawley,Vann,400,6,30,6,Fair,19,Local,2021/06/23 00:00:00+00,174.964762832766
93,SYR1569,0.0503856428486,Greenway Ave,Burnet,Hawley,300,6,30,6,Fair,19,Local,2021/06/23 00:00:00+00,111.231242792267
94,SYR157,0.0611615618584,"Avery Ave., S.",Tompkins,Tennyson,100,8,36,5,Poor,17,Collector,2021/06/02 00:00:00+00,134.970044656757
95,SYR1571,0.153149156095,Greenwood Pl,Bristol Pl.,Judson,200,17,25,6,Fair,19,Local,2021/07/16 00:00:00+00,337.585199933918
96,SYR1572,0.0625750517935,Greenwood Pl,Judson,Trinity Pl.,300,17,25,6,Fair,19,Local,2021/07/16 00:00:00+00,138.027465097332
97,SYR1573,0.0579148327268,Greenwood Pl,Trinity Pl.,Avondale,400,17,25,6,Fair,19,Local,2021/07/16 00:00:00+00,127.78693719888
98,SYR1574,0.0469567556451,Greenwood Pl,Avondale,Clarendon,500,17,25,4,Poor,19,Local,2021/07/16 00:00:00+00,103.626985256102
99,SYR1575,0.101040701115,Griffin St,Valley Dr.,dead end,100,13,27,8,Good,19,Local,2021/07/19 00:00:00+00,222.114200874284
100,SYR1576,0.0956899423953,Griffiths St,Butternut,Kappesser,100,3,27,5,Poor,19,Local,1899/12/30 00:00:00+00,210.701572801256
101,SYR1577,0.0557088374879,Griffiths St,Kappesser,Cleveland,200,3,27,5,Poor,19,Local,2021/07/13 00:00:00+00,122.672831718285
102,SYR1578,0.0502530245077,Griffiths St,Cleveland,Craig,300,3,27,5,Poor,19,Local,2021/07/13 00:00:00+00,110.660768191347
103,SYR1579,0.0864421415404,Griffiths St,Craig,Pond,400,3,27,5,Poor,19,Local,2021/07/13 00:00:00+00,190.341247907649
104,SYR158,0.0629480157572,"Avery Ave., S.",Tennyson,Bryant,200,8,36,5,Poor,17,Collector,2021/06/02 00:00:00+00,138.932009032551
105,SYR1580,0.0736644369198,Grove St,Shirley Dr.,Valley Dr.,100,13,24,9,Excellent,19,Local,2021/07/16 00:00:00+00,161.958183244879
106,SYR1581,0.0735060286056,Grumbach Ave,Park,Carbon,100,4,27,6,Fair,19,Local,2021/07/15 00:00:00+00,162.29221587471
107,SYR1582,0.172070250043,Grumbach Ave,Carbon,Knaul,200,4,27,5,Poor,19,Local,2021/07/15 00:00:00+00,379.877762584602
108,SYR1583,0.176042610946,Guilford Rd,Euclid,Windham,100,17,29,5,Poor,19,Local,2021/07/19 00:00:00+00,388.173500796921
109,SYR1584,0.144415910334,Hadden Rd,Edgemont,Hillsboro Pkwy,100,17,27,6,Fair,19,Local,2021/07/19 00:00:00+00,318.439823132388
110,SYR1585,0.0892477899919,Hadden Rd.,Edgemont,Lockwood,200,17,27,5,Poor,19,Local,2021/07/19 00:00:00+00,196.819228618814
111,SYR1586,0.0689499735581,Haffenden Rd,Hertford,Lancaster Pl.,100,19,27,7,Good,19,Local,2021/07/22 00:00:00+00,152.145845924916
112,SYR1587,0.0293276643788,Haffenden Rd,Lancaster Pl.,dead end,200,19,27,8,Good,19,Local,2021/07/22 00:00:00+00,64.713996079323
113,SYR1588,0.30137761327,Hall Ave,S.Salina,Midland,0,14,24,8,Good,19,Local,2021/07/16 00:00:00+00,662.485109815734
114,SYR1589,0.0694449705425,Hamilton St,W. Fayette,Lowell,200,7,25,8,Good,19,Local,2021/06/02 00:00:00+00,152.861843979116
115,SYR159,0.0468501213182,"Avery Ave., S.",Bryant,Whittier/Salisbury,300,8,36,5,Poor,17,Collector,2021/06/02 00:00:00+00,103.402094988814
116,SYR1590,0.0757375698598,Hamilton St.,Lowell,Emerson,300,7,25,7,Good,19,Local,2021/06/02 00:00:00+00,166.717893789373
117,SYR1591,0.127184339798,Hamilton St.,Emerson,Milton,400,7,25,7,Good,19,Local,2021/06/02 00:00:00+00,279.950596907489
118,SYR1592,0.113809264019,Hamilton St.,Milton,Willis,500,7,25,7,Good,19,Local,2021/06/02 00:00:00+00,250.507358858651
119,SYR1593,0.113256909789,Hamilton St.,Willis,Avery,600,7,25,7,Good,19,Local,2021/06/02 00:00:00+00,249.292856519053
120,SYR1594,0.112805775845,Hamilton St.,Avery,Myrtle,700,7,25,8,Good,19,Local,2021/06/02 00:00:00+00,248.295246848205
121,SYR1595,0.155862628205,Hampshire Rd,Sedgwick St.,Rugby Rd.,100,4,21,9,Excellent,19,Local,2021/06/17 00:00:00+00,344.018896245129
122,SYR1596,0.138468611559,Hampton Rd,James,Chatham Rd.,100,4,27,7,Good,19,Local,2021/06/17 00:00:00+00,305.73365938359
123,SYR1597,0.0893797767199,Hampton Rd,Chatham,Rugby Rd.,200,4,27,6,Fair,19,Local,2021/06/17 00:00:00+00,197.353009500395
124,SYR1598,0.219725012515,Hancock Dr,Stolp,Argonne,100,11,32,8,Good,19,Local,2021/06/10 00:00:00+00,484.731087845674
125,SYR1599,0.107802971053,Hancock Dr,Calvin,Arden,200,11,32,9,Excellent,19,Local,2021/06/10 00:00:00+00,237.80008792058
126,SYR16,0.148987968621,Ackerman Ave.,Stratford,Kensington,900,16,27,9,Excellent,19,Local,2021/07/20 00:00:00+00,328.785724339303
127,SYR160,0.341544452482,"Avery Ave., S.",Whittier/Salisbury,Yale,400,8,36,7,Good,17,Collector,2021/06/10 00:00:00+00,753.664547671523
128,SYR1600,0.115227641649,Harbor St.,Emerson,W. Fayette,100,7,40,5,Poor,19,Local,2021/10/14 00:00:00+00,253.499651848283
129,SYR1601,0.185931603512,Harding Pl,S. Salina,Coldbrook,100,14,26,9,Excellent,19,Local,2021/07/19 00:00:00+00,408.58844615896
130,SYR1602,0.073078208142,Harding Pl,Coldbrook,Latter Dr.,200,14,26,9,Excellent,19,Local,2021/07/19 00:00:00+00,160.590118519061
131,SYR1603,0.127625811002,Harding St,Huntley,Hillside,100,3,27,6,Fair,19,Local,2021/06/25 00:00:00+00,281.346380876176
132,SYR1604,0.155200108553,Harding St,Hillside,Court,200,3,27,6,Fair,19,Local,2021/06/25 00:00:00+00,342.120562821537
133,SYR1605,0.103008879235,Harford Rd,Ardmore,Chatham Rd.,100,1,0,6,Fair,19,Local,2021/07/13 00:00:00+00,227.208097203267
134,SYR1606,0.0569768261997,Harford Rd,Chatham Rd.,Cadillac,200,1,0,6,Fair,19,Local,2021/07/13 00:00:00+00,125.667643774697
135,SYR1607,0.135865378904,Harford Rd,Cadillac,LeMoyne,300,1,0,6,Fair,19,Local,2021/07/13 00:00:00+00,299.311297999442
136,SYR1608,0.175000983314,Harold St,Butternut,Wadsworth,100,3,30,4,Poor,19,Local,2021/06/25 00:00:00+00,385.129637915418
137,SYR1609,0.214926931738,Harriette Ave,Colvin,Vincent,0,19,19,7,Good,19,Local,2021/07/22 00:00:00+00,474.223898349783
138,SYR1610,0.22736763931,Harrington Rd,Brookford,Meadowbrook,100,17,27,8,Good,19,Local,2021/07/19 00:00:00+00,501.77935132118
139,SYR1611,0.105596794801,Harrison Pl,Harrison St.,Adams,100,9,28,6,Fair,19,Local,1899/12/30 00:00:00+00,233.07192212807
140,SYR1612,0.0708378155375,Harrison St,Salina,Warren,100,9,46,7,Good,14,Principal Arterial,1899/12/30 00:00:00+00,155.805653852647
141,SYR1613,0.10181106301,Harrison St,Warren,Montgomery,200,9,46,7,Good,14,Principal Arterial,1899/12/30 00:00:00+00,223.913334963843
142,SYR1614,0.0668772008793,Harrison St,Montgomery,State,300,15,46,8,Good,14,Principal Arterial,1899/12/30 00:00:00+00,147.083160894723
143,SYR1615,0.119197370203,Harrison St,State,Townsend,400,15,30,8,Good,14,Principal Arterial,1899/12/30 00:00:00+00,262.150822729443
144,SYR1616,0.149159257103,Harrison St,Townsend,Almond,500600,15,30,8,Good,14,Principal Arterial,1899/12/30 00:00:00+00,328.053357859252
145,SYR1617,0.224441780705,Harrison St,Almond,Irving,700,15,30,8,Good,16,Minor Arterial,2021/07/19 00:00:00+00,493.631660375328
146,SYR1618,0.0621633904204,Harrison St,Irving,Crouse,800,15,30,9,Excellent,16,Minor Arterial,2021/07/20 00:00:00+00,136.716206786926
147,SYR1619,0.111578723606,Harrison St,Crouse,University,900,15,30,9,Excellent,16,Minor Arterial,2021/07/20 00:00:00+00,245.395514643824
148,SYR162,0.0949810917878,"Avery Ave., S.",Yale,Grand,600,8,30,5,Poor,17,Collector,2021/06/10 00:00:00+00,209.592885765928
149,SYR1620,0.112629670938,Harrison St,University,Walnut,1000,16,30,9,Excellent,16,Minor Arterial,2021/07/20 00:00:00+00,247.706716364392
150,SYR1621,0.0829119897057,Harrison St,Walnut,Comstock,1100,16,30,9,Excellent,16,Minor Arterial,2021/10/14 00:00:00+00,182.348521696185
151,SYR1622,0.0821467874019,Harrison St,Comstock,Ostrom,1200,16,30,9,Excellent,19,Local,2021/07/19 00:00:00+00,180.665602104647
152,SYR1623,0.0708712094425,Hartley St,Butternut,Highland,100,4,28,6,Fair,19,Local,2021/07/15 00:00:00+00,155.933167861166
153,SYR1624,0.171549617869,Hartson St,Geddes,Herriman,100,11,27,7,Good,19,Local,2021/07/19 00:00:00+00,377.245493080612
154,SYR1625,0.0712694421612,Hartson St,Herriman,Lydell,200,11,27,7,Good,19,Local,2021/07/19 00:00:00+00,156.724357896251
155,SYR1626,0.0607922548067,Hartson St,Lydell,Hoefler,300,11,27,8,Good,19,Local,2021/07/19 00:00:00+00,133.684915350804
156,SYR1627,0.060974681078,Hartson St,Hoefler,Holden,400,11,27,8,Good,19,Local,2021/07/19 00:00:00+00,134.085461425022
157,SYR1628,0.0790113367301,Harvard Pl,Wescott,Cambridge,100,17,27,6,Fair,19,Local,2021/07/16 00:00:00+00,173.766027309494
158,SYR1629,0.0598996119273,Harvard Pl,Cambridge,Allen,200,17,27,6,Fair,19,Local,2021/07/16 00:00:00+00,131.733320816642
159,SYR163,0.0941179908254,Avoca St.,Ulster,Tompkins,100,8,27,5,Poor,19,Local,2021/06/02 00:00:00+00,207.580094114187
160,SYR1630,0.0582129611297,Harvard Pl,Allen,Fellows,300,17,27,6,Fair,19,Local,2021/07/16 00:00:00+00,128.025437974472
161,SYR1631,0.0587543220059,Harvard Pl,Fellows,Westmoreland,400,17,27,5,Poor,19,Local,2021/07/16 00:00:00+00,129.217598786385
162,SYR1633,0.178166128591,Harwood Ave,Seeley,Ball,100,17,25,5,Poor,19,Local,2021/07/16 00:00:00+00,391.876488554402
163,SYR1634,0.129760535399,Harwood Ave,Ball,Salisbury Park,200,17,25,6,Fair,19,Local,2021/07/16 00:00:00+00,285.40849116014
164,SYR1635,0.11201083055,Hasbrouck St,Burnet,Caleb,100,5,22,6,Fair,19,Local,2021/06/17 00:00:00+00,247.299543205973
165,SYR1636,0.189492880427,Hastings Pl.,James,Melrose,100,5,25,9,Excellent,19,Local,2021/06/25 00:00:00+00,418.39069702686
166,SYR1637,0.0606311276348,Hastings Pl.,Melrose,dead end,200,5,25,9,Excellent,19,Local,2021/06/25 00:00:00+00,133.866539898156
167,SYR1638,0.0712554116805,Hatch St,W. Colvin,Crehange,100,19,25,8,Good,19,Local,2021/07/16 00:00:00+00,157.180661079603
168,SYR1639,0.104843688954,Hatch St,Crehange,Elmhurst,200,19,25,8,Good,19,Local,2021/07/16 00:00:00+00,231.271357062496
169,SYR164,0.134882209487,Avon Rd.,Nichols,Moseley,100,5,28,6,Fair,19,Local,2021/06/17 00:00:00+00,296.745416245153
170,SYR1640,0.0959447526063,Hatch St,Elmhurst,W. Brighton,300,19,25,8,Good,19,Local,2021/07/16 00:00:00+00,211.636106569244
171,SYR1641,0.16327333649,Hatherly Rd,Meadowbrook,Brookford,100,17,27,5,Poor,19,Local,2021/07/19 00:00:00+00,360.331219827984
172,SYR1642,0.0970947507337,Hawley Ave,Townsend,McBride,100,6,32,7,Good,19,Local,2021/06/23 00:00:00+00,213.58037278544
173,SYR1643,0.0882207235508,Hawley Ave.,McBride,Catherine,200,6,34,6,Fair,19,Local,2021/06/23 00:00:00+00,194.052632177552
174,SYR1644,0.152723169053,Hawley Ave.,Catherine,Howard,300,6,26,6,Fair,19,Local,2021/06/23 00:00:00+00,335.968090882847
175,SYR1645,0.138069049454,Hawley Ave.,Howard,N. Crouse,400,6,38,6,Fair,19,Local,2021/06/23 00:00:00+00,303.700994377872
176,SYR1646,0.0815755005572,Hawley Ave.,N. Crouse,Lodi,500,6,38,4,Poor,19,Local,2021/06/23 00:00:00+00,179.473464326327
177,SYR1647,0.131800039136,Hawley Ave.,Lodi,Oak,600,6,38,4,Poor,17,Collector,2021/06/23 00:00:00+00,290.565543148993
178,SYR1648,0.0634328494701,Hawley Ave.,Oak,Delhi,700,6,38,4,Poor,19,Local,2021/06/23 00:00:00+00,139.535050726182
179,SYR1649,0.0858506116941,Hawley Ave.,Delhi,Elm,800,6,38,4,Poor,19,Local,2021/06/23 00:00:00+00,188.84834710311
180,SYR165,0.111872023451,Avondale Pl.,Greenwood Pl.,Wescott,100,17,25,7,Good,19,Local,2021/07/16 00:00:00+00,246.066753933153
181,SYR1650,0.0766432781099,Hawley Ave.,Elm,Mather,900,6,38,5,Poor,19,Local,2021/06/23 00:00:00+00,168.594426924531
182,SYR1651,0.0546825785008,Hawley Ave.,Mather,N. Beech,1000,6,38,6,Fair,19,Local,2021/06/23 00:00:00+00,120.286854716329
183,SYR1652,0.0421231533021,Hawley Ave.,N. Beech,Fairview,1100,6,38,6,Fair,19,Local,2021/06/23 00:00:00+00,92.659653117428
184,SYR1653,0.0618787763002,Hawley Ave.,Fairview,Vine,1200,6,38,6,Fair,19,Local,2021/06/23 00:00:00+00,136.116785247312
185,SYR1654,0.0502668184464,Hawley Ave.,Vine,Sherwood,1300,6,38,6,Fair,19,Local,2021/06/23 00:00:00+00,110.57352166676
186,SYR1655,0.0658252519524,Hawley Ave.,Sherwood,Winton,1400,6,38,5,Poor,19,Local,2021/06/23 00:00:00+00,144.798835466061
